WKT,osm_id,name,type
"LINESTRING (19.4258334 51.8495584,19.427781 51.851646,19.4286639 51.8526576,19.429355 51.8534689,19.4297055 51.8538795,19.4301462 51.854811,19.4303165 51.8557725,19.4302464 51.8564135,19.4301362 51.8570545,19.4297656 51.8577155,19.4292448 51.8584767,19.4284736 51.8594282,19.4276322 51.8604298,19.4267909 51.8612411,19.4258695 51.8619221,19.424948 51.8625331,19.424159 51.8629578,19.4200203 51.8651372,19.4173862 51.8664292,19.4160841 51.86696,19.4149123 51.8673306,19.4135001 51.8676311,19.4119576 51.8678715,19.4104853 51.8680518,19.4062988 51.8683522,19.403274 51.8685726,19.401341 51.8686126,19.4001892 51.8685926,19.3978856 51.8683823,19.3955619 51.868182,19.3937691 51.8680918,19.3925996 51.8681084,19.3922667 51.8681018,19.3906169 51.8682151,19.3874844 51.8686131,19.3841866 51.8690459,19.3823614 51.8693573,19.3795149 51.8696785,19.3745248 51.8703836,19.370438 51.8709564,19.3668138 51.8714411,19.3649411 51.8715843,19.3640268 51.8715843,19.3629693 51.8715402,19.3617686 51.871375,19.3588164 51.8704276,19.3562497 51.8695353,19.3527908 51.8682024,19.3496293 51.8668695,19.3483074 51.8662967,19.3474481 51.8659552,19.3465118 51.8656798,19.3456966 51.8654485,19.3444959 51.8651951,19.3429537 51.8649308,19.3420284 51.8648316,19.3396821 51.8647545)",4692802,,rail
"LINESTRING (19.3396821 51.8647545,19.3377653 51.8647545,19.3362672 51.8647545,19.3350555 51.8648757,19.3335573 51.8650299,19.3316185 51.8653163,19.3299882 51.8656909,19.3278402 51.8662306,19.3260556 51.8667814,19.3240397 51.8676296,19.3219798 51.868588,19.3205698 51.8694252,19.319336 51.8704276,19.3181683 51.8717165,19.3170778 51.8734569,19.3155246 51.8761117,19.3138722 51.8789978,19.3126715 51.881234,19.3121868 51.8823356,19.311636 51.8845718,19.3110412 51.8874579,19.3106116 51.8896721,19.310215 51.8914346,19.3097523 51.892448,19.3091244 51.8935827,19.3080118 51.8944419,19.3071857 51.8951359,19.3061691 51.8958289,19.30473 51.8967391,19.3026846 51.8978548,19.3003387 51.8987416,19.2978355 51.899514,19.2948031 51.8999718,19.2906693 51.9007299,19.2846044 51.901488,19.2817579 51.9018599,19.2796695 51.9023605,19.2777957 51.9031329,19.2755643 51.9043201,19.2741339 51.9054788,19.2731899 51.9064943,19.2724031 51.9078246,19.2718167 51.909584,19.2696711 51.9161781,19.268398 51.9202118,19.2671965 51.9239738)",4692803,,rail
"LINESTRING (19.2671965 51.9239738,19.2666816 51.9259477,19.2665958 51.9268918,19.2668371 51.9289732,19.2671721 51.9309365,19.2675722 51.9331417,19.268056 51.9360076,19.2685027 51.9383524,19.2691354 51.9419161,19.2696099 51.9442423,19.2703822 51.9488761,19.2709339 51.9517203,19.2710304 51.9530549,19.27095 51.9541965,19.2706445 51.9553541,19.2693421 51.9599204,19.2678146 51.9657731,19.2668338 51.9691174,19.2659174 51.9722367)",4692932,,rail
"LINESTRING (19.2659174 51.9722367,19.265033 51.9753559,19.2639236 51.9791826,19.2634413 51.9808227,19.262975 51.981916,19.2623479 51.9828164,19.2614154 51.9840545,19.2600165 51.9857427,19.2537298 51.9934444,19.2499191 51.998059,19.2485203 51.9996829,19.2473305 52.0008084,19.2457387 52.0020465,19.2428928 52.0040402,19.2391143 52.0066932,19.233728 52.010343,19.2283738 52.0140411,19.2250294 52.0163082,19.2240647 52.0169674,19.2230357 52.0178517,19.2225212 52.018318,19.2221353 52.0188004)",4692933,,rail
"LINESTRING (19.2221353 52.0188004,19.2209133 52.020569,19.2178423 52.0247977,19.2152536 52.0283189,19.2113626 52.033641,19.210832 52.0342841,19.2102371 52.0348629,19.209208 52.0357794,19.2029535 52.0410854,19.1964577 52.0464717,19.1933063 52.0491086)",4692934,,rail
"LINESTRING (19.1933063 52.0491086,19.1913769 52.0506521,19.1879843 52.0535302,19.1871964 52.054302,19.1866015 52.055122,19.1861191 52.0560546,19.1857172 52.0570354,19.1855885 52.0579036,19.1853313 52.0636597,19.185074 52.071474,19.1849132 52.0757187,19.1849615 52.0765548,19.1851223 52.077198,19.1854438 52.0780823,19.185878 52.0788701,19.1863764 52.0796419,19.1880486 52.0813623,19.1925827 52.085591,19.1984521 52.0910654,19.2003043 52.0927788,19.2015083 52.0941448,19.2057454 52.0990302,19.209263 52.1030862,19.2108762 52.1046994,19.2139873 52.1074648,19.2199214 52.1127652)",4692935,,rail
"LINESTRING (19.2199214 52.1127652,19.2342093 52.1254399,19.2378082 52.1286085,19.2390406 52.1296838,19.2402005 52.1306021,19.241155 52.1312666,19.2429311 52.1325232,19.2462779 52.1348309,19.2496609 52.1372111,19.2529956 52.1395792,19.2570553 52.1424064,19.2614169 52.1454632,19.2648966 52.1478555,19.2667452 52.1491121,19.2679051 52.1500424,19.2693308 52.1512023,19.2721097 52.1534013,19.2753478 52.1560352,19.2763989 52.156893)",4692936,,rail
"LINESTRING (19.2763989 52.156893,19.2789483 52.1589591,19.2815097 52.1610493,19.2847236 52.1636591,19.288747 52.1668488,19.2944256 52.1715005,19.2998626 52.1758863,19.3055171 52.1805017,19.308441 52.1827853,19.3096251 52.1835948,19.3151467 52.1871832,19.3193513 52.1898776,19.3242325 52.1930431,19.3277485 52.1953267,19.3284492 52.1958704,19.3329801 52.1997125,19.3341641 52.2007033,19.3351065 52.2015128,19.3357832 52.2020806,19.3367256 52.2026364,19.3416672 52.2053912,19.3471163 52.2084117,19.3515988 52.210804,19.3536528 52.2119277,19.3547764 52.2125922,19.3577245 52.2145133,19.358679 52.2151899,19.3592227 52.2156127,19.3596214 52.2160477,19.3599597 52.2164827,19.3604068 52.217268,19.3606242 52.2181983,19.3606436 52.2187203,19.3604599 52.2194549,19.3602473 52.2200832,19.3598413 52.2206825,19.3593484 52.2212527,19.3588361 52.2217457,19.3581691 52.2223353,19.3575409 52.2228959,19.3570286 52.2233115,19.3566419 52.2236112,19.3563133 52.2238142,19.3548248 52.2245488,19.3535586 52.2250321,19.3524566 52.2254187,19.3512484 52.225786,19.3502239 52.226134,19.3492294 52.2269433)",4692937,,rail
"LINESTRING (19.3492294 52.2269433,19.3478148 52.2273867,19.3472182 52.2275892,19.3465505 52.2278465,19.3459923 52.2280763,19.3454778 52.2282022,19.3453027 52.2282624,19.3443742 52.2286267,19.3433433 52.2289198,19.3415464 52.2294967,19.3394185 52.2301871,19.338066 52.2305749,19.3356355 52.2311518,19.3339804 52.231549,19.3306945 52.2324758,19.3267135 52.2335348,19.319222 52.2355156,19.3111619 52.2376532,19.307024 52.2387906,19.3018658 52.240103,19.2986728 52.2409263,19.2961426 52.2414585,19.2941143 52.2417095,19.2929797 52.2417798,19.2919656 52.24184,19.2904293 52.2417898,19.2890838 52.2417396,19.2866038 52.2413982,19.2839831 52.240856,19.2816938 52.2403741,19.279284 52.2399222,19.2773361 52.2395206,19.2752175 52.2392294,19.2739121 52.2390888,19.2711509 52.2390085,19.2690022 52.2389382,19.2649457 52.2388378,19.2607185 52.2387173,19.2557483 52.2385567,19.2495932 52.238396,19.2468722 52.2383257,19.2419823 52.238155,19.2356831 52.2379827,19.2314755 52.2378382,19.2283524 52.2377225)",4692938,,rail
"LINESTRING (19.2283524 52.2377225,19.2234943 52.2375779,19.2132575 52.2373176,19.2064184 52.2371152,19.2005626 52.2369272,19.1903258 52.2366814,19.1813469 52.2364646,19.1783828 52.2363489,19.1674664 52.2355103)",4692939,,rail
